name	percent
Denmark	92
Finland	87.1
Sweden	97.4
Norway	89.9
Netherlands	89.1
Slovenia	94.3
Germany	85.5
Canada	89.2
Ireland	64.3
Australia	80.1
New Zealand	81.1
Switzerland	81.2
Austria	81.7
France	94.9
Belgium	83.7
Portugal	82.5
United Kingdom	80.2
Estonia	81.9
Italy	78.7
Czechia	75.4
Japan	62.4
Slovakia	72.7
Spain	90.2
Lithuania	76.7
Latvia	74.9
Croatia	74.6
Bulgaria	89
United States	72.3
Greece	75.1
Poland	69
Israel	63.8
Uruguay	77.1
Montenegro	75.9
Serbia	82.9
Hungary	63.1
Belarus	73.8
Bosnia and Herzegovina	75.8
Chile	61.7
Georgia	66.7
Republic of Korea	56.7
Republic of North Macedonia	73.9
Romania	75.5
Costa Rica	71.3
Kazakhstan	68.8
Ukraine	67.7
Argentina	69.5
Trinidad and Tobago	73
Armenia	68.6
Jamaica	64.1
Albania	79.3
Thailand	53.1
Mongolia	69.1
Republic of Moldova	73.3
Paraguay	40.4
Kyrgyzstan	64.5
Colombia	67.7
Ecuador	64
Russian Federation	63.6
Malaysia	50.9
Azerbaijan	58.9
Viet Nam	64.6
Panama	60.7
Mexico	65.1
Algeria	56.3
Peru	64.7
Tunisia	75.4
Bolivia	72.6
Indonesia	56.6
Turkey	61.7
South Africa	83.5
Tajikistan	55.7
Philippines	61.2
China	54.9
Namibia	74
Dominican Republic	56.5
Brazil	38.6
El Salvador	59.8
Belize	52.5
Sri Lanka	36.1
Honduras	55.2
Venezuela	-
Botswana	49.7
Nicaragua	73.4
Jordan	43.3
Lebanon	44.5
Egypt	45.1
Morocco	47.4
Guatemala	49.5
Bhutan	36.6
Rwanda	75.9
Saudi Arabia	45.9
Ghana	55.3
India	52.3
Cambodia	58
Kenya	54.9
Myanmar	37.6
Lesotho	55.3
Zimbabwe	55.5
United Republic of Tanzania	50.2
Nepal	46.5
Iraq	44.2
Senegal	52.2
Lao People's Democratic Republic	40.2
Malawi	48.9
Uganda	53.8
Zambia	59.8
Benin	46.2
Bangladesh	38.3
Cote d'Ivoire	42.6
Angola	55
Pakistan	45.6
Mozambique	61.1
Togo	54.9
Burkina Faso	40.6
Ethiopia	48.8
Cameroon	55.9
Madagascar	42.6
Sierra Leone	43.1
Liberia	47.6
Nigeria	36.4
Mali	36.4
Mauritania	54.7
Niger	36.1
Yemen	31
Congo	42.4
DR Congo	30.8
Chad	32.7
Afghanistan	-
Antarctica	-
Bahamas	-
Brunei Darussalam	-
Burundi	-
Central African Republic	-
Cuba	-
Cyprus	-
Djibouti	-
Equatorial Guinea	-
Eritrea	-
Falkland Islands (Malvinas)	-
Fiji	-
French Southern Territories	-
Gabon	-
Gambia	-
Greenland	-
Guinea	-
Guinea-Bissau	-
Guyana	-
Haiti	-
Iceland	-
Islamic Republic of Iran	-
North Korea	-
Kuwait	-
Libya	-
Luxembourg	-
New Caledonia	-
Oman	-
Palestinian Territory, Occupied	-
Papua New Guinea	-
Puerto Rico	-
Qatar	-
Solomon Islands	-
Somalia	-
South Sudan	-
Sudan	-
Suriname	-
Swaziland	-
Syrian Arab Republic	-
Taiwan, Province of China	-
Timor-Leste	-
Turkmenistan	-
United Arab Emirates	-
Uzbekistan	-
Vanuatu	-
Western Sahara	-
